Rank,Team,Power Score,W-L-T,Total W-L,PF
1,footBALLS,0.8636363636363636,3-1-0,37-7,584.16
2,RJ Harvey Fan Club,0.7644906335333616,3-1-0,29-15,516.62
3,Spelling Opitonal,0.6635521193861376,2-2-0,27-17,512.32
4,Shake N Bake,0.6618910966692397,3-1-0,19-25,469.58000000000004
5,The Trade Federation,0.6551577815957439,3-1-0,19-25,457.78000000000003
6,Daddy DPORT,0.6246991276777636,2-2-0,24-20,484.05999999999995
7,Transgender Illegal Alien,0.603955537295718,2-2-0,22-22,474.26
8,Felon Keller,0.564473826182947,1-3-0,25-19,511.28
9,Fent Nap,0.49725894939535037,2-2-0,12-32,420.04
10,Bussy boy Balls,0.4632282147688886,1-3-0,17-27,440.06
11,Unlucky Diabetic,0.45680303445299336,1-3-0,17-27,428.8
12,63 Glizzys of S0dom -Jake Moody,0.4538721230381049,1-3-0,16-28,436.94
